title,make,model,year,condition,transmission,price
Lexus RX 330 2005 Gray,Lexus,RX 330,2005,foreign used,automatic,"₦ 11,500,000"
Toyota Highlander 3.5L 4WD 2013 Gray,Toyota,Highlander 3,2013,foreign used,automatic,"₦ 16,500,000"
Toyota Highlander Limited 2009 Gray,Toyota,Highlander Limited,2009,local used,automatic,"₦ 9,000,000"
Toyota Corolla 2014 Silver,Toyota,Corolla,2014,local used,automatic,"₦ 11,500,000"
Honda Accord 2018 Silver,Honda,Accord,2018,local used,automatic,"₦ 17,500,000"
Mercedes-Benz GLE-Class 2016 Gray,Mercedes-Benz,GLE-Class,2016,foreign used,automatic,"₦ 32,500,000"
Dodge Challenger 2021 Black,Dodge,Challenger,2021,foreign used,automatic,"₦ 55,500,000"
Pontiac Torrent 2009 Gray,Pontiac,Torrent,2009,foreign used,automatic,"₦ 11,300,000"
Hyundai Sonata 2014 Red,Hyundai,Sonata,2014,foreign used,automatic,"₦ 13,200,000"
Mercedes-Benz M Class 2014 Black,Mercedes-Benz,M Class,2014,local used,automatic,"₦ 19,000,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6AM) 2010 Gray,Toyota,Camry LE,2010,foreign used,automatic,"₦ 12,200,000"
Toyota RAV4 2018 Teal,Toyota,RAV4,2018,foreign used,automatic,"₦ 28,500,000"
Hyundai Sonata 2011 Silver,Hyundai,Sonata,2011,foreign used,automatic,"₦ 12,500,000"
Hyundai Elantra 2016 White,Hyundai,Elantra,2016,foreign used,automatic,"₦ 16,000,000"
Lexus IS 2014 Gray,Lexus,IS,2014,foreign used,automatic,"₦ 20,500,000"
Honda Accord 2013 Black,Honda,Accord,2013,foreign used,automatic,"₦ 13,500,000"
Mercedes-Benz E350 Base 4Matic Sedan AWD (3.5L 6cyl 7A) 2010 Black,Mercedes-Benz,E350 Base,2010,local used,automatic,"₦ 9,500,000"
Toyota Camry 2020 Silver,Toyota,Camry,2020,foreign used,automatic,"₦ 28,500,000"
Toyota RAV4 2015 Gray,Toyota,RAV4,2015,foreign used,automatic,"₦ 18,500,000"
Toyota Avalon 2022 Black,Toyota,Avalon,2022,foreign used,automatic,"₦ 51,000,000"
Mercedes-Benz GLK-Class 2014 Silver,Mercedes-Benz,GLK-Class,2014,foreign used,automatic,"₦ 25,500,000"
Lexus IS 2006 Silver,Lexus,IS,2006,local used,automatic,"₦ 8,500,000"
Toyota Tacoma Limited 2018 Gray,Toyota,Tacoma Limited,2018,foreign used,automatic,"₦ 38,000,000"
Toyota Tacoma 2013 White,Toyota,Tacoma,2013,foreign used,automatic,"₦ 23,800,000"
New Toyota Fortuner 4.0 AWD 2023 Black,New,Toyota Fortuner,2023,brand new,automatic,"₦ 95,000,000"
Toyota Hilux SR5 4x4 2016 White,Toyota,Hilux SR5,2016,foreign used,automatic,"₦ 58,000,000"
Toyota Sienna XLE 7 Passenger Auto Access Seat (3.5L 6cyl 6A) 2016 Gray,Toyota,Sienna XLE,2016,foreign used,automatic,"₦ 25,000,000"
Lexus LX 570 AWD 2017 Black,Lexus,LX 570,2017,foreign used,automatic,"₦ 118,500,000"
Lexus GX 470 Sport Utility 2007 Green,Lexus,GX 470,2007,foreign used,automatic,"₦ 17,500,000"
Mercedes-Benz GLA 250 2021 White,Mercedes-Benz,GLA 250,2021,foreign used,automatic,"₦ 55,000,000"
Dodge Caliber SXT 2012 Silver,Dodge,Caliber SXT,2012,foreign used,automatic,"₦ 10,500,000"
Lexus RX 300 4WD 2003 Green,Lexus,RX 300,2003,foreign used,automatic,"₦ 10,000,000"
Mercedes-Benz GLK-Class 350 4MATIC 2014 Silver,Mercedes-Benz,GLK-Class 350,2014,foreign used,automatic,"₦ 22,500,000"
Ford Escape 2013 White,Ford,Escape,2013,foreign used,automatic,"₦ 14,500,000"
Hyundai Tucson 2019 Blue,Hyundai,Tucson,2019,foreign used,automatic,"₦ 39,000,000"
Toyota Yaris iA 1.5 FWD 2019 White,Toyota,Yaris iA,2019,foreign used,automatic,"₦ 18,800,000"
Toyota 4-Runner Limited 4dr 4x4 (4.0L 6cyl 5A) 2017 Black,Toyota,4-Runner Limited,2017,foreign used,automatic,"₦ 57,000,000"
Lexus RX 450H 4WD 2021 White,Lexus,RX 450H,2021,foreign used,automatic,"₦ 75,000,000"
Honda Accord 2014 Gray,Honda,Accord,2014,foreign used,automatic,"₦ 17,500,000"
Lexus TX TX 350 AWD 2024 Silver,Lexus,TX TX,2024,foreign used,automatic,"₦ 170,000,000"
Toyota Tacoma TRD PRO V6 4dr Double Cab 4WD 5.0 ft. SB (4.0L 6cyl 6M),,,,foreign used,automatic,"₦ 25,800,000"
Mercedes-Benz C300 Luxury 4matic Sedan AWD (2.0L 4cyl 7A) 2017 Blue,Mercedes-Benz,C300 Luxury,2017,foreign used,automatic,"₦ 26,500,000"
Lexus RX 350 AWD 2013 Gray,Lexus,RX 350,2013,foreign used,automatic,"₦ 28,000,000"
Toyota Camry 2010 Gray,Toyota,Camry,2010,foreign used,automatic,"₦ 11,500,000"
Toyota Avensis 2005 Silver,Toyota,Avensis,2005,foreign used,automatic,"₦ 9,500,000"
Mercedes-Benz GLE-Class AMG GLE 63 S 4MATIC 2016 Black,Mercedes-Benz,GLE-Class AMG,2016,foreign used,automatic,"₦ 82,000,000"
Lexus LX 570 AWD 2016 White,Lexus,LX 570,2016,local used,automatic,"₦ 72,000,000"
Toyota Camry 2013 Gray,Toyota,Camry,2013,foreign used,automatic,"₦ 14,000,000"
Toyota Camry 2012 Gray,Toyota,Camry,2012,foreign used,automatic,"₦ 14,000,000"
Toyota Corolla S Premium 4dr Sedan (1.8L 4cyl CVT) 2015 Black,Toyota,Corolla S,2015,foreign used,automatic,"₦ 16,000,000"
Toyota RAV4 Limited V6 2008 Gray,Toyota,RAV4 Limited,2008,foreign used,automatic,"₦ 11,500,000"
Lexus RX 350 AWD 2012 Black,Lexus,RX 350,2012,foreign used,automatic,"₦ 21,000,000"
Mercedes-Benz CLA-Class 2016 Black,Mercedes-Benz,CLA-Class,2016,foreign used,automatic,"₦ 15,500,000"
Lexus LX 570 AWD 2020 Gold,Lexus,LX 570,2020,foreign used,automatic,"₦ 138,000,000"
Toyota 4-Runner 2015 Matt Black,Toyota,4-Runner,2015,foreign used,automatic,"₦ 43,000,000"
Toyota Corolla LE 2021 White,Toyota,Corolla LE,2021,foreign used,automatic,"₦ 28,000,000"
Mercedes-Benz GLC-Class 2019 Black,Mercedes-Benz,GLC-Class,2019,foreign used,automatic,"₦ 65,000,000"
Ford Taurus SEL 2013 Red,Ford,Taurus SEL,2013,foreign used,automatic,"₦ 17,000,000"
Toyota Yaris LE Hatchback 5dr 2012 Blue,Toyota,Yaris LE,2012,foreign used,automatic,"₦ 15,000,000"
Toyota Tacoma 2014 Red,Toyota,Tacoma,2014,foreign used,automatic,"₦ 27,000,000"
Honda CR-V 2012 White,Honda,CR-V,2012,foreign used,automatic,"₦ 13,800,000"
Honda CR-V 2024 Black,Honda,CR-V,2024,foreign used,automatic,"₦ 77,000,000"
Toyota Highlander Hybrid Limited 2012 Silver,Toyota,Highlander Hybrid,2012,foreign used,automatic,"₦ 19,500,000"
Mercedes-Benz GLK-Class 350 4MATIC 2012 Black,Mercedes-Benz,GLK-Class 350,2012,foreign used,automatic,"₦ 19,500,000"
Acura RL 3.7L Advance Pkg 2012 Silver,Acura,RL 3,2012,foreign used,automatic,"₦ 25,000,000"
Toyota Highlander Limited 3.5L 2WD 2013 Black,Toyota,Highlander Limited,2013,foreign used,automatic,"₦ 18,800,000"
Lexus RX 300 4WD 2003 Gold,Lexus,RX 300,2003,foreign used,automatic,"₦ 9,800,000"
Mercedes-Benz GLA 250 SV Premium 2014 Black,Mercedes-Benz,GLA 250,2014,foreign used,automatic,"₦ 26,500,000"
Lexus ES 330 2005 Green,Lexus,ES 330,2005,foreign used,automatic,"₦ 9,500,000"
Toyota RAV4 Limited 2008 Silver,Toyota,RAV4 Limited,2008,foreign used,automatic,"₦ 13,500,000"
Honda CR-V 2.0i Executive Automatic 2008 Black,Honda,CR-V 2,2008,foreign used,automatic,"₦ 13,500,000"
Toyota Highlander Platinum FWD 2024 Gray,Toyota,Highlander Platinum,2024,foreign used,automatic,"₦ 88,000,000"
Honda Accord EX-L 4dr Sedan FWD (2.4L 4cyl 2A) 2013 Green,Honda,Accord EX-L,2013,foreign used,automatic,"₦ 13,500,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2013 Black,Toyota,Camry SE,2013,local used,automatic,"₦ 11,000,000"
Honda CR-V EX-L 2WD 2025 Black,Honda,CR-V EX-L,2025,foreign used,automatic,"₦ 67,000,000"
Honda Civic LX 4dr Sedan (2.0L 4cyl) 2016 Black,Honda,Civic LX,2016,foreign used,automatic,"₦ 16,300,000"
Toyota Camry XSE FWD 2020 Silver,Toyota,Camry XSE,2020,foreign used,automatic,"₦ 36,500,000"
Toyota Matrix XR Hatchback FWD (1.8L 4cyl 4A) 2007 Gray,Toyota,Matrix XR,2007,foreign used,automatic,"₦ 8,000,000"
Honda Accord EX-L 2018 Blue,Honda,Accord EX-L,2018,local used,automatic,"₦ 17,500,000"
Toyota Venza 2010 Gold,Toyota,Venza,2010,local used,automatic,"₦ 10,500,000"
Toyota Highlander XLE 4x4 V6 (3.5L 6cyl 8A) 2017 Silver,Toyota,Highlander XLE,2017,local used,automatic,"₦ 18,500,000"
Honda Accord Sedan EX 2004 Gold,Honda,Accord Sedan,2004,local used,automatic,"₦ 2,600,000"
Acura MDX SUV 4dr AWD (3.7L 6cyl 6A) 2012 Gray,Acura,MDX SUV,2012,foreign used,automatic,"₦ 13,000,000"
Toyota Corolla LE 4dr Sedan (1.8L 4cyl 4A) 2010 Black,Toyota,Corolla LE,2010,foreign used,automatic,"₦ 10,000,000"
Toyota Camry 2013 Gray,Toyota,Camry,2013,foreign used,automatic,"₦ 14,000,000"
Toyota Sienna XLE Limited 2008 Silver,Toyota,Sienna XLE,2008,foreign used,automatic,"₦ 12,000,000"
Lexus RX 350 F Sport AWD 2015 Burgundy,Lexus,RX 350,2015,foreign used,automatic,"₦ 28,000,000"
Toyota Avalon 2017 Gray,Toyota,Avalon,2017,foreign used,automatic,"₦ 20,000,000"
Toyota Camry LE 4dr Sedan (2.4L 4cyl 4A) 2004 Silver,Toyota,Camry LE,2004,foreign used,automatic,"₦ 8,000,000"
Toyota RAV4 2010 Black,Toyota,RAV4,2010,foreign used,automatic,"₦ 16,000,000"
Acura MDX SUV 4dr AWD (3.7 6cyl 5A) 2008 Gray,Acura,MDX SUV,2008,foreign used,automatic,"₦ 9,500,000"
Mitsubishi Lancer 2011 Gray,Mitsubishi,Lancer,2011,local used,manual,"₦ 2,850,000"
Honda Civic 1.6i ES Automatic 2008 Silver,Honda,Civic 1,2008,local used,automatic,"₦ 3,850,000"
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5M) 2003 Gold,Toyota,Camry LE,2003,local used,automatic,"₦ 3,200,000"
Honda Accord 2005 Black,Honda,Accord,2005,local used,automatic,"₦ 3,500,000"
Mercedes-Benz GLE-Class AMG GLE 43 4MATIC 2018 White,Mercedes-Benz,GLE-Class AMG,2018,foreign used,automatic,"₦ 57,500,000"
Mercedes-Benz GLE-Class GLE 350 4MATIC 2022 White,Mercedes-Benz,GLE-Class GLE,2022,foreign used,automatic,"₦ 105,000,000"
Toyota Camry 2021 Silver,Toyota,Camry,2021,local used,automatic,"₦ 28,500,000"
Mercedes-Benz GLK-Class 2014 Brown,Mercedes-Benz,GLK-Class,2014,foreign used,automatic,"₦ 24,300,000"
Toyota Camry 2014 White,Toyota,Camry,2014,foreign used,automatic,"₦ 15,500,000"
Toyota Highlander V6 AWD 2002 Blue,Toyota,Highlander V6,2002,local used,automatic,"₦ 5,200,000"
Toyota Camry SE 4dr Sedan (2.4L 4cyl 5A) 2007 Gray,Toyota,Camry SE,2007,local used,automatic,"₦ 8,000,000"
Toyota Solara 2004 Gold,Toyota,Solara,2004,local used,automatic,"₦ 5,500,000"
Lexus RX 2009 Black,Lexus,RX,2009,foreign used,automatic,"₦ 12,500,000"
Toyota Corolla 2008 Black,Toyota,Corolla,2008,local used,automatic,"₦ 8,500,000"
Toyota Venza 2011 Gray,Toyota,Venza,2011,foreign used,automatic,"₦ 18,500,000"
Kia Sportage 2012 Black,Kia,Sportage,2012,local used,automatic,"₦ 8,500,000"
Toyota Corolla XSE 2020 Black,Toyota,Corolla XSE,2020,foreign used,automatic,"₦ 30,500,000"
Mercedes-Benz M Class ML350 4MATIC 4dr SUV AWD (3.5L 6cyl 7A) 2014,Mercedes-Benz,M Class,2014,foreign used,automatic,"₦ 26,500,000"
Toyota RAV4 2010 Black,Toyota,RAV4,2010,local used,automatic,"₦ 10,000,000"
New Toyota Hilux 2022 White,New,Toyota Hilux,2022,brand new,manual,"₦ 75,000,000"
Toyota Tundra 2014 Black,Toyota,Tundra,2014,foreign used,automatic,"₦ 45,000,000"
Mercedes-Benz B-Class B200 Petrol 2010 Red,Mercedes-Benz,B-Class B200,2010,foreign used,automatic,"₦ 16,000,000"
Mercedes-Benz GLC-Class 2019 Blue,Mercedes-Benz,GLC-Class,2019,foreign used,automatic,"₦ 77,000,000"
Lexus RX 350 FWD 2014 White,Lexus,RX 350,2014,foreign used,automatic,"₦ 29,500,000"
Toyota Avalon 2014 Ivory,Toyota,Avalon,2014,foreign used,automatic,"₦ 23,000,000"
Toyota Camry 2015,Toyota,Camry,2015,foreign used,automatic,"₦ 22,500,000"
Toyota Alphard 2023 Black,Toyota,Alphard,2023,foreign used,automatic,"₦ 90,000,000"
Toyota Highlander Limited 4x4 V6 (3.5L 6cyl 8A) 2017 Green,Toyota,Highlander Limited,2017,foreign used,automatic,"₦ 34,000,000"
Mercedes-Benz GLE-Class AMG GLE 43 4MATIC 2017 Silver,Mercedes-Benz,GLE-Class AMG,2017,foreign used,automatic,"₦ 80,000,000"
New Toyota Hilux 2024 Black,New,Toyota Hilux,2024,brand new,automatic,"₦ 78,000,000"
Toyota C-HR 2020 Teal,Toyota,C-HR,2020,foreign used,automatic,"₦ 32,000,000"
Mercedes-Benz GLA 250 2017 Silver,Mercedes-Benz,GLA 250,2017,foreign used,automatic,"₦ 27,300,000"
Mercedes-Benz GLB-Class AMG GLB 35 4MATIC 2023 Black,Mercedes-Benz,GLB-Class AMG,2023,foreign used,automatic,"₦ 95,000,000"
Lexus RX 350 AWD 2017 Brown,Lexus,RX 350,2017,foreign used,automatic,"₦ 52,000,000"
Land Rover Range Rover Evoque 2014 Blue,Land,Rover Range,2014,foreign used,automatic,"₦ 25,000,000"
Toyota Avensis Verso 2.0 Petrol 2005 Silver,Toyota,Avensis Verso,2005,foreign used,manual,"₦ 12,800,000"
Mercedes-Benz GLS-Class GLS450 4MATIC 2018 Red,Mercedes-Benz,GLS-Class GLS450,2018,foreign used,automatic,"₦ 55,000,000"
Toyota Highlander Limited 3.5l 4WD 2013 Silver,Toyota,Highlander Limited,2013,foreign used,automatic,"₦ 18,400,000"
Nissan Quest SV 4dr Minivan (3.5L 6cyl CVT) 2014 Gray,Nissan,Quest SV,2014,foreign used,automatic,"₦ 15,800,000"
Toyota Tacoma TRD Pro 2018 Black,Toyota,Tacoma TRD,2018,foreign used,automatic,"₦ 43,000,000"
Acura MDX SH-AWD w/Technology Package 4dr SUV AWD (3.5L 6cyl 6A) 2015,Acura,MDX SH-AWD,2015,foreign used,automatic,"₦ 15,800,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2013 Black,Toyota,Camry SE,2013,foreign used,automatic,"₦ 14,800,000"
Toyota Camry XSE (2.5L 4cyl 8A) 2019 Silver,Toyota,Camry XSE,2019,foreign used,automatic,"₦ 35,500,000"
Toyota Corolla LE 4dr Sedan (1.8L 4 cyl 4A) 2009 Gray,Toyota,Corolla LE,2009,local used,automatic,"₦ 7,500,000"
Toyota Camry LE (2.5L 4cyl 8A) 2019 Silver,Toyota,Camry LE,2019,foreign used,automatic,"₦ 21,900,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2015 Black,Toyota,Camry SE,2015,foreign used,automatic,"₦ 15,500,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6AM) 2010 Silver,Toyota,Camry LE,2010,foreign used,automatic,"₦ 10,400,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6A) 2013 White,Toyota,Camry LE,2013,foreign used,automatic,"₦ 13,800,000"
Toyota Camry LE 2021 Black,Toyota,Camry LE,2021,local used,automatic,"₦ 27,000,000"
Honda Accord Touring 4dr Sedan FWD (3.5L 6cyl 6A) 2016 Gray,Honda,Accord Touring,2016,foreign used,automatic,"₦ 22,000,000"
Toyota Highlander 3.5L 4WD 2013 Silver,Toyota,Highlander 3,2013,foreign used,automatic,"₦ 17,500,000"
Toyota RAV4 2020 Black,Toyota,RAV4,2020,foreign used,automatic,"₦ 65,000,000"
Hyundai Avante 2013 White,Hyundai,Avante,2013,foreign used,automatic,"₦ 14,500,000"
Toyota Camry 2015 Black,Toyota,Camry,2015,foreign used,automatic,"₦ 21,600,000"
BMW X3 xDrive30i 2022 Black,BMW,X3 xDrive30i,2022,foreign used,automatic,"₦ 65,500,000"
Mercedes-Benz GLC-Class 2020 Black,Mercedes-Benz,GLC-Class,2020,foreign used,automatic,"₦ 55,000,000"
Mercedes-Benz GLK-Class 350 4MATIC 2010 Gray,Mercedes-Benz,GLK-Class 350,2010,local used,automatic,"₦ 10,500,000"
Lexus GX 2018 Gray,Lexus,GX,2018,local used,automatic,"₦ 49,000,000"
Mercedes-Benz GLA 250 2016 Black,Mercedes-Benz,GLA 250,2016,local used,automatic,"₦ 19,500,000"
Toyota Corolla 2014 Gray,Toyota,Corolla,2014,local used,automatic,"₦ 10,500,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2013 Black,Toyota,Camry SE,2013,foreign used,automatic,"₦ 15,000,000"
Toyota Camry XLE V6 4dr Sedan (3.5L 6cyl 6A) 2012 White,Toyota,Camry XLE,2012,foreign used,automatic,"₦ 17,000,000"
Toyota Camry 2019 Black,Toyota,Camry,2019,foreign used,automatic,"₦ 24,500,000"
Toyota Highlander XLE AWD 2020 Blue,Toyota,Highlander XLE,2020,foreign used,automatic,"₦ 63,000,000"
Lexus NX 300 AWD 2018 Black,Lexus,NX 300,2018,foreign used,automatic,"₦ 40,000,000"
Mercedes-Benz M Class 2014 White,Mercedes-Benz,M Class,2014,foreign used,automatic,"₦ 32,000,000"
Toyota Tacoma 2020 Silver,Toyota,Tacoma,2020,foreign used,automatic,"₦ 48,000,000"
Toyota Tundra 2013 Black,Toyota,Tundra,2013,foreign used,automatic,"₦ 35,000,000"
Mercedes-Benz GLB-Class GLB 250 4MATIC 2020 Silver,Mercedes-Benz,GLB-Class GLB,2020,foreign used,automatic,"₦ 85,000,000"
Toyota Matrix 2013 Green,Toyota,Matrix,2013,foreign used,automatic,"₦ 12,800,000"
Mercedes-Benz GLC-Class 2017 Black,Mercedes-Benz,GLC-Class,2017,foreign used,automatic,"₦ 70,000,000"
Toyota RAV4 2019 Ivory,Toyota,RAV4,2019,foreign used,automatic,"₦ 39,000,000"
Lexus RX 350 F Sport AWD 2016 White,Lexus,RX 350,2016,foreign used,automatic,"₦ 55,000,000"
Lexus GX 460 2021 Red,Lexus,GX 460,2021,foreign used,automatic,"₦ 88,000,000"
Mercedes-Benz M Class 2014 Matt Black,Mercedes-Benz,M Class,2014,foreign used,automatic,"₦ 29,500,000"
Lexus ES 350 FWD 2014 Gray,Lexus,ES 350,2014,foreign used,automatic,"₦ 22,500,000"
Toyota Highlander Limited 2010 Gold,Toyota,Highlander Limited,2010,foreign used,automatic,"₦ 18,500,000"
Jeep Wrangler Rubicon 4x4 2017 Black,Jeep,Wrangler Rubicon,2017,foreign used,automatic,"₦ 55,000,000"
Toyota Tundra 2005 Black,Toyota,Tundra,2005,foreign used,automatic,"₦ 21,000,000"
Toyota Camry 2017 Red,Toyota,Camry,2017,foreign used,automatic,"₦ 23,000,000"
Lexus RX 350 2013 Black,Lexus,RX 350,2013,foreign used,automatic,"₦ 28,500,000"
Toyota Highlander Limited 2022 Black,Toyota,Highlander Limited,2022,foreign used,automatic,"₦ 69,000,000"
Acura MDX SUV 4dr AWD (3.7 6cyl 5A) 2009 Green,Acura,MDX SUV,2009,foreign used,automatic,"₦ 10,800,000"
Lexus RX 300 2WD 2003 Black,Lexus,RX 300,2003,foreign used,automatic,"₦ 10,800,000"
Lexus IS 250 4WD 2009 White,Lexus,IS 250,2009,foreign used,automatic,"₦ 12,800,000"
Lexus GX 470 2009 Silver,Lexus,GX 470,2009,foreign used,automatic,"₦ 21,000,000"
Toyota Camry SE 4dr Sedan (3.5L 6cyl 6A) 2014 Black,Toyota,Camry SE,2014,foreign used,automatic,"₦ 14,400,000"
Honda Accord EX-L V-6 4dr Sedan FWD (3.5L 6cyl 6A) 2016 White,Honda,Accord EX-L,2016,foreign used,automatic,"₦ 19,999,999"
Ford Edge SEL 4dr AWD 2017 Gray,Ford,Edge SEL,2017,foreign used,automatic,"₦ 25,800,000"
Honda Accord LX 4dr Sedan FWD (2.4L 4cyl 2A) 2013 Silver,Honda,Accord LX,2013,local used,automatic,"₦ 8,850,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2014 Black,Toyota,Camry SE,2014,foreign used,automatic,"₦ 15,500,000"
Toyota Camry SE FWD (2.5L 4cyl 8AM) 2018 Blue,Toyota,Camry SE,2018,foreign used,automatic,"₦ 27,300,000"
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5A) 2007 Silver,Toyota,Camry LE,2007,foreign used,automatic,"₦ 9,600,000"
Audi A4 2.0T Premium AWD quattro 2018 Black,Audi,A4 2,2018,foreign used,automatic,"₦ 26,500,000"
Toyota Sienna LE 4WD 2007 White,Toyota,Sienna LE,2007,local used,automatic,"₦ 7,600,000"
Lexus RX 2012 Black,Lexus,RX,2012,foreign used,automatic,"₦ 20,000,000"
Toyota Sienna XLE 7 Passenger 2010 Burgundy,Toyota,Sienna XLE,2010,foreign used,automatic,"₦ 12,000,000"
Acura MDX SUV 4dr AWD (3.7L 6cyl 6A) 2012 White,Acura,MDX SUV,2012,foreign used,automatic,"₦ 13,500,000"
Ford Explorer 2015 Brown,Ford,Explorer,2015,foreign used,automatic,"₦ 23,000,000"
Acura MDX SH-AWD 4dr SUV AWD (3.5L 6cyl 6A) 2015 Burgundy,Acura,MDX SH-AWD,2015,foreign used,automatic,"₦ 18,000,000"
Toyota Camry 2009 Gray,Toyota,Camry,2009,foreign used,automatic,"₦ 11,000,000"
Acura MDX 2013 White,Acura,MDX,2013,foreign used,automatic,"₦ 13,000,000"
Toyota Corolla LE 2006 Red,Toyota,Corolla LE,2006,foreign used,automatic,"₦ 8,500,000"
Mercedes-Benz M Class 2008 Black,Mercedes-Benz,M Class,2008,local used,automatic,"₦ 6,000,000"
Toyota Highlander 4x4 2005 Red,Toyota,Highlander 4x4,2005,local used,automatic,"₦ 7,846,875"
Mercedes-Benz CLA-Class CLA 250 4MATIC Sedan 2014 Red,Mercedes-Benz,CLA-Class CLA,2014,foreign used,automatic,"₦ 22,000,000"
Toyota Camry 2012 Gold,Toyota,Camry,2012,foreign used,automatic,"₦ 12,800,000"
Toyota Camry 2013 White,Toyota,Camry,2013,local used,automatic,"₦ 10,700,000"
Toyota Corolla 2007 Black,Toyota,Corolla,2007,local used,automatic,"₦ 5,500,000"
Hyundai Veloster 2011 Orange,Hyundai,Veloster,2011,foreign used,automatic,"₦ 17,000,000"
Lexus RX 330 2005 White,Lexus,RX 330,2005,foreign used,automatic,"₦ 11,500,000"
Toyota Camry XLE V6 4dr Sedan (3.5L 6cyl 6AM) 2007 Black,Toyota,Camry XLE,2007,local used,automatic,"₦ 8,500,000"
Mercedes-Benz E350 2011 Silver,Mercedes-Benz,E350,2011,local used,automatic,"₦ 10,500,000"
Lexus ES 350 2011 White,Lexus,ES 350,2011,foreign used,automatic,"₦ 14,000,000"
Toyota Corolla Hatchback XSE 2023 White,Toyota,Corolla Hatchback,2023,foreign used,automatic,"₦ 35,000,000"
Mercedes-Benz GLE-Class GLE 350d 4MATIC 2016 Gray,Mercedes-Benz,GLE-Class GLE,2016,foreign used,automatic,"₦ 45,000,000"
Lexus LX 570 AWD 2020 Gray,Lexus,LX 570,2020,foreign used,automatic,"₦ 134,000,000"
Toyota Yaris 2008 Blue,Toyota,Yaris,2008,foreign used,automatic,"₦ 9,800,000"
Hyundai Accent 2011 Blue,Hyundai,Accent,2011,foreign used,automatic,"₦ 11,800,000"
Lexus GX 460 AWD 2022 Gray,Lexus,GX 460,2022,foreign used,automatic,"₦ 120,000,000"
Lexus ES 350 2012 Blue,Lexus,ES 350,2012,foreign used,automatic,"₦ 13,000,000"
Toyota RAV4 2020 Silver,Toyota,RAV4,2020,foreign used,automatic,"₦ 48,000,000"
Ford Edge 2015 Black,Ford,Edge,2015,foreign used,automatic,"₦ 20,500,000"
Mercedes-Benz G-Class G63 AMG 4dr SUV 4WD (5.5L 8cyl Turbo 7A) 2014,Mercedes-Benz,G-Class G63,2014,foreign used,automatic,"₦ 110,000,000"
Lexus RX 350 2007 Green,Lexus,RX 350,2007,foreign used,automatic,"₦ 14,800,000"
Lexus RX 330 2006 Gold,Lexus,RX 330,2006,foreign used,automatic,"₦ 13,500,000"
Toyota Tacoma V6 4dr Double Cab 4WD 5.0 ft. SB (4.0L 6cyl 5A) 2014 Gray,Toyota,Tacoma V6,2014,foreign used,automatic,"₦ 24,000,000"
Toyota Corolla 2007 Red,Toyota,Corolla,2007,foreign used,automatic,"₦ 8,800,000"
Ford Focus SE Hatchback FWD (2.0L 4cyl 5M) 2012 Black,Ford,Focus SE,2012,foreign used,automatic,"₦ 12,500,000"
Toyota Tacoma 2015 Gray,Toyota,Tacoma,2015,foreign used,automatic,"₦ 23,000,000"
Toyota Hilux SR5 4x4 2016 White,Toyota,Hilux SR5,2016,foreign used,automatic,"₦ 52,000,000"
Lexus ES 330 2006 Gold,Lexus,ES 330,2006,foreign used,automatic,"₦ 9,800,000"
Mercedes-Benz GLA-Class GLA250 4MATIC 4dr SUV AWD (2.0L 4cyl Turbo 7AM),,,,foreign used,automatic,"₦ 24,000,000"
Toyota Highlander Limited 4x4 2008 Gray,Toyota,Highlander Limited,2008,foreign used,automatic,"₦ 16,800,000"
Lexus GX 460 Base 2015 Burgundy,Lexus,GX 460,2015,foreign used,automatic,"₦ 47,900,000"
Lexus RX 350 AWD 2017 Burgundy,Lexus,RX 350,2017,foreign used,automatic,"₦ 39,850,000"
